,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,46.92,87,75,4.61,CA,1632178653
1,Vaini,-21.2,-175.2,73.56,88,75,13.8,TO,1632178654
2,Hasaki,35.7333,140.8333,68.4,63,56,7.54,JP,1632178654
3,Ilulissat,69.2167,-51.1,22.03,75,100,5.06,GL,1632178572
4,Albany,42.6001,-73.9662,73.98,78,34,4.41,US,1632178426
5,Tuy Hoa,13.0833,109.3,75.43,91,100,7.23,VN,1632178655
6,Mataura,-46.1927,168.8643,49.62,87,99,3.8,NZ,1632178656
7,New Norfolk,-42.7826,147.0587,47.7,71,73,6.42,AU,1632178656
8,Pochutla,15.7432,-96.4661,84.02,65,91,5.48,MX,1632178657
9,Avarua,-21.2078,-159.775,78.85,69,75,6.91,CK,1632178657
10,Kavieng,-2.5744,150.7967,82.83,71,100,6.33,PG,1632178658
11,Balad,34.0164,44.1453,83.44,26,0,10.89,IQ,1632178658
12,Bambous Virieux,-20.3428,57.7575,68.25,73,40,13.8,MU,1632178659
13,Jamestown,42.097,-79.2353,72.72,87,98,9.57,US,1632178659
14,Geraldton,-28.7667,114.6,57.61,58,0,3.44,AU,1632178660
15,Saint-Philippe,-21.3585,55.7679,67.55,80,98,13.38,RE,1632178660
16,Rikitea,-23.1203,-134.9692,74.01,77,6,13.53,PF,1632178660
17,Okoneshnikovo,54.8377,75.0834,38.89,87,100,10.98,RU,1632178661
18,Fukuechō,32.6881,128.8419,78.06,79,6,15.84,JP,1632178661
19,Cape Town,-33.9258,18.4232,48.61,81,20,5.75,ZA,1632178662
20,Beatrice,40.2681,-96.747,73.38,53,1,18.41,US,1632178662
21,Castro,-24.7911,-50.0119,74.82,48,58,2.01,BR,1632178663
22,Torbay,47.6666,-52.7314,45.37,76,75,19.57,CA,1632178663
23,Provost,52.3501,-110.2683,63.82,38,73,6.24,CA,1632178664
24,Bluff,-46.6,168.3333,48.38,84,100,11.48,NZ,1632178665
25,Zigong,29.3416,104.7769,70.9,89,0,1.32,CN,1632178665
26,Independence,39.0911,-94.4155,85.48,61,75,3.44,US,1632178500
27,Mackenzie,55.2999,-123.1698,52.02,71,75,10.36,CA,1632178666
28,Busselton,-33.65,115.3333,51.51,64,0,9.42,AU,1632178667
29,Nouakchott,18.0858,-15.9785,87.73,68,5,22.39,MR,1632178667
30,Borås,57.721,12.9401,44.69,78,100,2.24,SE,1632178668
31,Tiksi,71.6872,128.8694,33.84,72,100,5.08,RU,1632178668
32,Port Elizabeth,-33.918,25.5701,53.89,82,75,18.41,ZA,1632178632
33,Naryan-Mar,67.6713,53.087,38.55,89,100,12.62,RU,1632178669
34,Lompoc,34.6391,-120.4579,91.54,53,1,11.5,US,1632178572
35,Lebu,-37.6167,-73.65,50.38,84,0,21.21,CL,1632178670
36,Sibolga,1.7427,98.7792,75.51,83,99,3.42,ID,1632178670
37,Punta Arenas,-53.15,-70.9167,53.71,62,75,32.21,CL,1632178670
38,Novo Aripuanã,-5.1206,-60.3797,81.39,61,83,2.08,BR,1632178671
39,Khani,41.9563,42.9566,53.17,80,0,6.26,GE,1632178671
40,Port Hedland,-20.3167,118.5667,77.05,19,100,13.8,AU,1632178672
41,Tsabong,-26.0217,22.401,53.37,33,0,11.95,BW,1632178672
42,Kholm-Zhirkovskiy,55.5189,33.4731,40.77,96,100,15.32,RU,1632178673
43,Tabas,33.5959,56.9244,82.06,14,0,3.51,IR,1632178673
44,Hermanus,-34.4187,19.2345,52.02,66,9,5.86,ZA,1632178674
45,Bilma,18.6853,12.9164,86.76,14,0,4.99,NE,1632178674
46,Kaitangata,-46.2817,169.8464,52.5,69,100,6.11,NZ,1632178674
47,Fazilka,30.4,74.0333,82.4,68,41,6.31,IN,1632178675
48,Asău,46.4333,26.4,45.52,93,100,1.77,RO,1632178675
49,Atuona,-9.8,-139.0333,77.94,72,35,19.89,PF,1632178676
50,Srīvardhan,18.0333,73.0167,77.61,88,91,1.41,IN,1632178676
51,East London,-33.0153,27.9116,57.52,51,45,24.09,ZA,1632178677
52,Hong Kong,22.2855,114.1577,84.18,81,34,2.91,HK,1632178602
53,Caucayá,-0.1934,-74.7819,77.97,77,97,2.44,CO,1632178677
54,Hikone,35.25,136.25,74.08,74,12,4.45,JP,1632178678
55,Maseru,-29.3167,27.4833,48.52,26,0,4.14,LS,1632178678
56,Hobart,-42.8794,147.3294,48.06,57,40,12.66,AU,1632178635
57,Yulara,-25.2406,130.9889,53.44,37,2,14.97,AU,1632178679
58,Fernley,39.608,-119.2518,75.31,14,0,9.48,US,1632178679
59,Arraial do Cabo,-22.9661,-42.0278,71.56,88,20,21.85,BR,1632178679
60,Barrow,71.2906,-156.7887,32.83,78,100,14.18,US,1632178680
61,Hambantota,6.1241,81.1185,79.79,81,74,14.09,LK,1632178680
62,Vigodarzere,45.458,11.8843,60.75,77,60,7.87,IT,1632178681
63,Kapaa,22.0752,-159.319,82.72,69,75,16.11,US,1632178681
64,Biu,10.6129,12.1946,70.45,85,100,4.59,NG,1632178682
65,Chimoio,-19.1164,33.4833,60.66,82,0,1.99,MZ,1632178682
66,Hithadhoo,-0.6,73.0833,83.17,73,83,11.56,MV,1632178682
67,Rocha,-34.4833,-54.3333,54.95,89,95,16.02,UY,1632178683
68,Saskylakh,71.9167,114.0833,31.08,96,100,5.21,RU,1632178683
69,Belaya Gora,68.5333,146.4167,29.91,65,74,10.22,RU,1632178684
70,Katsuura,35.1333,140.3,71.71,72,74,8.23,JP,1632178684
71,Beira,-19.8436,34.8389,62.69,94,0,6.91,MZ,1632178685
72,Carauari,-4.8828,-66.8958,80.89,70,78,2.77,BR,1632178508
73,Bathsheba,13.2167,-59.5167,84.81,70,40,8.05,BB,1632178686
74,Ushuaia,-54.8,-68.3,44.26,81,90,8.05,AR,1632178556
75,Ferrol,43.4832,-8.2369,61.32,87,1,6.4,ES,1632178687
76,Upernavik,72.7868,-56.1549,26.94,78,97,5.23,GL,1632178687
77,Tigil',57.8,158.6667,49.42,83,100,8.23,RU,1632178688
78,Dunedin,-45.8742,170.5036,55.83,64,100,9.19,NZ,1632178688
79,Mar del Plata,-38.0023,-57.5575,50.02,87,0,10.36,AR,1632178689
80,San Patricio,28.017,-97.5169,95.72,52,0,13.8,US,1632178689
81,Viedma,-40.8135,-62.9967,48.72,45,0,4.45,AR,1632178483
82,Ulladulla,-35.35,150.4667,52.7,48,50,14.36,AU,1632178690
83,Channel-Port aux Basques,47.5702,-59.1367,51.08,66,1,8.63,CA,1632178690
84,Lata,40.1629,-8.3327,59.41,58,0,7.0,PT,1632178691
85,Verkhnevilyuysk,63.4453,120.3167,31.01,78,75,5.06,RU,1632178691
86,Saint George,37.1041,-113.5841,88.27,16,1,0.0,US,1632178414
87,Neverkino,52.7854,46.7417,44.42,83,100,15.23,RU,1632178692
88,Abengourou,6.7297,-3.4964,71.78,99,17,2.42,CI,1632178592
89,Jiaojiang,28.6803,121.4428,75.88,94,65,4.38,CN,1632178692
90,Lufilufi,-13.8745,-171.5986,85.78,76,14,15.12,WS,1632178693
91,Ryōtsu-minato,38.0833,138.4333,71.56,68,0,8.43,JP,1632178693
92,Hilo,19.7297,-155.09,77.68,76,85,8.57,US,1632178548
93,Sitka,57.0531,-135.33,57.09,82,90,12.66,US,1632178510
94,Souillac,-20.5167,57.5167,68.38,73,40,13.8,MU,1632178695
95,Provideniya,64.3833,-173.3,33.91,69,90,4.47,RU,1632178695
96,Tasiilaq,65.6145,-37.6368,28.56,73,69,8.99,GL,1632178695
97,Gangāpur,26.4833,76.7167,78.55,90,0,5.46,IN,1632178696
98,Brigantine,39.4101,-74.3646,71.89,64,8,13.71,US,1632178502
99,Mahébourg,-20.4081,57.7,68.29,73,40,13.8,MU,1632178508
100,Panama City,8.9936,-79.5197,84.15,80,20,13.8,PA,1632178495
101,Kahului,20.8947,-156.47,80.35,68,62,12.1,US,1632178697
102,College,64.8569,-147.8028,32.32,57,100,5.3,US,1632178698
103,Maragogi,-9.0122,-35.2225,74.79,73,44,8.3,BR,1632178699
104,San Ignacio Río Muerto,27.4167,-110.2333,92.68,52,47,12.26,MX,1632178557
105,Shubarshi,48.5872,57.1869,49.82,30,100,8.3,KZ,1632178699
106,Khovd,48.0056,91.6419,44.87,26,1,7.54,MN,1632178700
107,Bengkulu,-3.8004,102.2655,76.03,88,96,2.35,ID,1632178700
108,Iqaluit,63.7506,-68.5145,31.73,74,90,11.5,CA,1632178700
109,Kanigoro,-8.13,112.219,72.68,89,82,0.47,ID,1632178701
110,Kizilskoye,52.7255,58.8937,34.48,74,50,3.96,RU,1632178702
111,Port Alfred,-33.5906,26.891,56.61,66,20,28.05,ZA,1632178702
112,Naze,28.3667,129.4833,72.52,75,0,0.87,JP,1632178702
113,Butaritari,3.0707,172.7902,82.98,71,86,15.03,KI,1632178703
114,Airai,-8.9266,125.4092,66.06,43,91,4.76,TL,1632178703
115,Carutapera,-1.195,-46.02,78.6,76,15,8.34,BR,1632178704
116,Mahanoro,-19.9,48.8,65.82,89,100,2.44,MG,1632178704
117,Longyearbyen,78.2186,15.6401,40.84,93,90,2.3,SJ,1632178705
118,Portland,45.5234,-122.6762,69.73,40,12,4.94,US,1632178386
119,Sungai Penuh,-2.0833,101.3833,63.99,95,90,1.21,ID,1632178705
120,Seoul,37.5683,126.9778,69.4,94,75,9.22,KR,1632178633
121,Evensk,61.95,159.2333,45.1,86,100,17.72,RU,1632178706
122,Maţāy,28.419,30.7792,81.54,44,0,16.28,EG,1632178707
123,Mossamedes,-15.1961,12.1522,62.19,83,9,5.7,AO,1632178707
124,Mazamari,-11.3258,-74.5308,76.87,70,48,1.05,PE,1632178707
125,Zhezkazgan,47.8043,67.7144,43.23,46,3,9.4,KZ,1632178708
126,Kamaishi,39.2667,141.8833,68.61,76,3,8.37,JP,1632178708
127,Portlethen,57.0547,-2.1307,56.97,72,40,6.91,GB,1632178709
128,Puerto Ayora,-0.7393,-90.3518,76.96,82,89,10.6,EC,1632178709
129,Sur,22.5667,59.5289,84.33,67,1,9.51,OM,1632178710
130,Thompson,55.7435,-97.8558,51.96,62,75,11.5,CA,1632178710
131,Sept-Îles,50.2001,-66.3821,54.12,87,75,6.91,CA,1632178686
132,Chui,-33.6971,-53.4616,58.64,94,86,14.9,UY,1632178711
133,Huacho,-11.1067,-77.605,63.12,77,16,11.05,PE,1632178711
134,Valeggio sul Mincio,45.3523,10.7367,62.78,77,40,6.91,IT,1632178712
135,Byron Bay,-28.65,153.6167,71.55,68,64,16.64,AU,1632178712
136,Kushiro,42.975,144.3747,58.15,94,75,2.3,JP,1632178713
137,Podor,16.6527,-14.9587,87.75,70,0,2.3,MR,1632178713
138,Cassilândia,-19.1133,-51.7342,87.06,15,20,1.9,BR,1632178714
139,Uuemõisa,58.9394,23.5894,42.26,76,100,7.47,EE,1632178715
140,Gubkinskiy,64.434,76.5026,33.35,95,100,16.62,RU,1632178715
141,Slave Lake,55.2834,-114.769,57.18,58,90,12.66,CA,1632178716
142,Oshikango,-17.4,15.8833,73.29,24,4,8.05,NA,1632178716
143,Ludvika,60.1496,15.1878,42.6,86,100,3.44,SE,1632178716
144,Poum,-20.2333,164.0167,72.52,65,89,19.71,NC,1632178717
145,Labuhan,-6.8844,112.2051,77.81,82,100,5.61,ID,1632178718
146,Winneba,5.3511,-0.6231,76.23,91,90,9.89,GH,1632178718
147,Ponta do Sol,32.6667,-17.1,72.23,81,40,5.03,PT,1632178719
148,Berlevåg,70.8578,29.0864,41.52,74,23,26.22,NO,1632178719
149,Bethel,41.3712,-73.414,69.91,72,14,5.46,US,1632178720
150,Caxito,-8.5785,13.6643,74.05,81,5,3.8,AO,1632178721
151,Seydişehir,37.4193,31.8453,64.6,50,0,2.93,TR,1632178721
152,Acapulco de Juárez,16.8634,-99.8901,83.68,74,84,6.58,MX,1632178721
153,Bredasdorp,-34.5322,20.0403,47.52,76,5,6.91,ZA,1632178722
154,Atar,20.5169,-13.0499,93.97,27,0,8.3,MR,1632178722
155,Matola,-25.9622,32.4589,69.75,83,75,4.61,MZ,1632178723
156,Bambanglipuro,-7.95,110.2833,74.84,88,90,2.19,ID,1632178663
157,Thinadhoo,0.5333,72.9333,83.34,72,66,12.12,MV,1632178723
158,Khatanga,71.9667,102.5,31.05,98,93,0.92,RU,1632178724
159,Faya,18.3851,42.4509,68.11,30,0,4.07,SA,1632178724
160,Moose Factory,51.2585,-80.6094,82.4,54,20,17.27,CA,1632178725
161,Husavik,66.0449,-17.3389,44.51,93,100,16.17,IS,1632178725
162,Saint Paul Harbor,57.79,-152.4072,53.49,64,64,17.4,US,1632178726
163,Teahupoo,-17.8333,-149.2667,76.96,73,16,13.65,PF,1632178726
164,Mana,5.6592,-53.7767,80.76,83,52,10.13,GF,1632178727
165,Pimentel,-6.8367,-79.9342,66.49,72,0,23.02,PE,1632178728
166,Lorengau,-2.0226,147.2712,80.78,79,100,1.7,PG,1632178728
167,Kieta,-6.2167,155.6333,79.36,82,100,5.41,PG,1632178728
168,Nantucket,41.2835,-70.0995,62.94,61,0,12.93,US,1632178713
169,Ancud,-41.8697,-73.8203,49.53,80,5,3.96,CL,1632178729
170,São Filipe,14.8961,-24.4956,80.19,83,44,3.22,CV,1632178729
171,Sioux Lookout,50.1001,-91.917,52.18,93,90,12.66,CA,1632178730
172,Norman Wells,65.282,-126.8329,57.24,47,75,13.8,CA,1632178730
173,San Lorenzo,-25.3333,-57.5333,94.14,41,40,4.61,PY,1632178731
174,Gallup,35.5281,-108.7426,74.93,16,53,16.69,US,1632178731
175,Alappuzha,9.49,76.3264,79.48,86,66,8.7,IN,1632178732
176,Oranjemund,-28.55,16.4333,54.99,79,3,19.93,NA,1632178514
177,Liverpool,53.4106,-2.9779,57.15,88,40,6.91,GB,1632178503
178,Vao,-22.6667,167.4833,69.93,65,96,17.85,NC,1632178733
179,Russell,32.3502,-85.1999,80.31,88,49,1.68,US,1632178733
180,Atikokan,48.7555,-91.6216,53.47,96,100,13.49,CA,1632178734
181,Nikolskoye,59.7035,30.7861,42.69,74,97,7.25,RU,1632178734
182,Malakal,9.5334,31.6605,71.11,97,97,4.88,SS,1632178734
183,Chokurdakh,70.6333,147.9167,28.85,69,97,9.1,RU,1632178735
184,Buala,-8.145,159.5921,83.84,71,40,9.26,SB,1632178735
185,Vestmannaeyjar,63.4427,-20.2734,49.12,73,100,13.98,IS,1632178736
186,George Town,5.4112,100.3354,78.73,94,40,4.61,MY,1632178676
187,Cidreira,-30.1811,-50.2056,66.42,98,75,3.83,BR,1632178736
188,Ayagoz,47.9714,80.4392,36.21,46,2,1.97,KZ,1632178737
189,Jinka,5.65,36.65,68.36,61,88,3.47,ET,1632178737
190,Pāsighāt,28.0667,95.3333,73.29,92,24,3.24,IN,1632178738
191,Skoghall,59.3232,13.4655,39.76,100,75,2.3,SE,1632178738
192,Le Port,-20.9373,55.2919,67.96,75,46,4.72,RE,1632178738
193,Behbahān,30.5959,50.2417,76.32,17,0,1.61,IR,1632178739
194,La Palma,33.8464,-118.0467,91.17,45,0,7.76,US,1632178739
195,Lucapa,-8.4192,20.7447,73.29,42,46,3.15,AO,1632178740
196,Klaksvík,62.2266,-6.589,52.72,79,70,36.33,FO,1632178740
197,Pevek,69.7008,170.3133,26.98,81,95,2.26,RU,1632178740
198,Velsk,61.0701,42.0983,30.6,96,47,4.5,RU,1632178741
199,Avera,33.194,-82.5271,76.51,97,100,10.71,US,1632178741
200,Neftçala,39.3742,49.2472,72.55,74,2,8.16,AZ,1632178742
201,Poso,-1.3959,120.7524,74.66,97,100,3.4,ID,1632178742
202,Puerto Carreño,6.189,-67.4859,80.62,78,100,4.05,CO,1632178743
203,Minoh,34.8269,135.4706,74.44,69,20,9.22,JP,1632178743
204,Leningradskiy,69.3833,178.4167,25.63,82,99,10.78,RU,1632178743
205,Antofagasta,-23.65,-70.4,58.28,82,100,6.04,CL,1632178744
206,Yinchuan,38.4681,106.2731,66.49,27,0,8.23,CN,1632178744
207,Erzin,36.9559,36.2,70.32,77,0,0.67,TR,1632178745
208,Paralímni,35.0375,33.9833,77.88,68,0,2.1,CY,1632178745
209,Sola,-13.8833,167.55,77.94,73,86,20.11,VU,1632178746
210,Goražde,43.6669,18.9764,53.71,86,98,2.33,BA,1632178747
211,Carnarvon,-24.8667,113.6333,55.47,50,0,9.22,AU,1632178747
212,Tuatapere,-46.1333,167.6833,48.7,85,100,4.23,NZ,1632178747
213,Homagama,6.844,80.0024,76.75,91,87,3.83,LK,1632178748
214,Kismayo,-0.3582,42.5454,76.73,82,11,15.93,SO,1632178748
215,Pisco,-13.7,-76.2167,66.25,72,9,4.61,PE,1632178749
216,Srednekolymsk,67.45,153.6833,31.87,64,95,15.57,RU,1632178749
217,Maïné Soroa,13.2114,12.0241,83.43,53,95,12.06,NE,1632178750
218,Yangambi,0.8102,24.4336,71.6,91,71,0.76,CD,1632178750
219,Coahuayana Viejo,18.7333,-103.6833,84.85,73,35,3.89,MX,1632178751
220,Port Hardy,50.6996,-127.4199,55.58,94,90,10.36,CA,1632178751
221,La Vergne,36.0156,-86.5819,74.23,94,90,5.75,US,1632178555
222,Mingora,34.7758,72.3625,68.47,91,85,5.66,PK,1632178752
223,Esik,43.3552,77.4525,44.02,42,7,3.65,KZ,1632178752
224,Touros,-5.1989,-35.4608,77.9,72,69,17.13,BR,1632178753
225,Itarema,-2.9248,-39.9167,78.6,82,15,15.46,BR,1632178753
226,Kandrian,-6.2167,149.55,80.35,80,91,7.85,PG,1632178754
227,Alofi,-19.0595,-169.9187,82.29,74,75,6.91,NU,1632178754
228,Narsaq,60.9167,-46.05,35.4,63,1,4.38,GL,1632178755
229,Mendi,-6.1761,143.6513,61.23,81,100,0.74,PG,1632178755
230,Jacqueville,5.2052,-4.4146,78.71,90,45,8.52,CI,1632178755
231,Shelburne,44.0787,-80.2041,72.05,71,100,9.28,CA,1632178756
232,Saint-Joseph,-21.3667,55.6167,66.56,79,88,13.27,RE,1632178756
233,Montemor-o-Novo,38.6481,-8.2145,67.41,55,0,7.02,PT,1632178757
234,Dikson,73.5069,80.5464,35.44,75,100,8.43,RU,1632178757
235,Anori,-3.7728,-61.6442,79.57,72,99,3.4,BR,1632178758
236,At-Bashi,41.1702,75.8106,46.54,34,0,1.07,KG,1632178758
237,Kruisfontein,-34.0033,24.7314,55.54,58,82,18.9,ZA,1632178759
238,Banda Aceh,5.5577,95.3222,78.28,82,79,13.42,ID,1632178759
239,Mpulungu,-8.7623,31.1141,76.91,41,0,6.78,ZM,1632178760
240,Beloha,-25.1667,45.05,63.34,73,0,8.39,MG,1632178760
241,Skjervøy,70.0311,20.9714,43.16,66,0,17.25,NO,1632178761
242,Abu Samrah,35.3029,37.1841,75.02,50,0,6.6,SY,1632178761
243,Menomonie,44.8755,-91.9193,77.02,100,100,16.11,US,1632178761
244,Qidong,31.8128,121.6561,71.28,87,27,6.87,CN,1632178762
245,Tsimmerbude,54.675,20.1347,48.25,78,11,7.05,RU,1632178763
246,Aramecina,13.7422,-87.7103,93.99,84,43,3.06,HN,1632178763
247,Zhuhai,22.2769,113.5678,83.91,89,40,4.61,CN,1632178764
248,Clyde River,70.4692,-68.5914,28.63,80,20,8.05,CA,1632178764
249,Qaanaaq,77.484,-69.3632,13.6,72,88,8.72,GL,1632178765
250,Vila Franca do Campo,37.7167,-25.4333,68.41,85,16,9.91,PT,1632178765
251,Lagoa,39.05,-27.9833,69.96,68,5,10.67,PT,1632178765
252,Corinth,37.9407,22.9573,80.71,63,78,7.87,GR,1632178766
253,Bakchar,57.0186,82.0711,34.11,98,98,7.65,RU,1632178766
254,Meadow Lake,34.8014,-106.5436,86.77,13,0,12.86,US,1632178767
255,Villa Guerrero,18.8667,-99.65,70.2,82,54,1.99,MX,1632178767
256,Sechura,-5.5569,-80.8222,68.86,67,13,18.86,PE,1632178768
257,Médéa,36.2642,2.7539,64.85,86,0,1.07,DZ,1632178768
258,Salalah,17.0151,54.0924,79.41,83,16,4.5,OM,1632178768
259,Korla,41.7597,86.1469,72.9,21,65,10.92,CN,1632178769
260,Fortuna,40.5982,-124.1573,67.12,55,1,13.8,US,1632178769
261,Moree,-29.4667,149.85,50.02,66,90,20.71,AU,1632178770
262,Santa Cruz de Tenerife,28.4682,-16.2546,73.62,94,75,16.11,ES,1632178770
263,Rawson,-43.3002,-65.1023,55.54,47,1,6.89,AR,1632178771
264,Nanortalik,60.1432,-45.2371,37.54,70,2,10.96,GL,1632178771
265,Eureka,40.8021,-124.1637,67.39,65,2,7.72,US,1632178771
266,Nakhon Thai,17.1006,100.8374,73.42,98,100,3.04,TH,1632178772
267,Progreso,21.2833,-89.6667,83.64,79,13,16.75,MX,1632178772
268,Seka,17.9285,103.9552,73.31,93,94,2.62,TH,1632178773
269,Jardim,-21.4803,-56.1381,88.59,16,4,1.88,BR,1632178773
270,Grandview,38.8858,-94.533,85.35,65,40,4.61,US,1632178500
271,Biskamzha,53.4497,89.5272,35.29,90,98,9.66,RU,1632178774
272,Mulegé,26.8833,-111.9833,91.51,57,2,15.3,MX,1632178775
273,Seybaplaya,19.65,-90.6667,83.98,76,71,14.05,MX,1632178775
